ID	第几次投凶	角色ID	角色名称	角色图片	角色大图	真凶	是否显示真凶
Id	VoteNum	RoleId	RoleName	RolePic	RoleBigPic	Murder	Truth
int	int	int	string	string	string	bool	bool
1	1	1	姚青峰	yqftx	yqflh	0	0
2	1	2	谢雨晴	xyqtx	xyqlh	0	0
3	1	3	吕思琦	lsqtx	lsqlh	0	0
4	1	4	叶冷星	ylxtx	ylxlh	0	0
5	1	5	李萱萱	lxxtx	lxxlh	1	1
6	1	6	皇甫青	hfqtx	hfqlh	0	0
7	1	7	白穆	bmtx	bmlh	0	0
8	1	90	李老师	llstx	llslh	0	0
9	2	1	姚青峰	yqftx	yqflh	0	0
10	2	2	谢雨晴	xyqtx	xyqlh	0	0
11	2	3	吕思琦	lsqtx	lsqlh	0	0
12	2	4	叶冷星	ylxtx	ylxlh	0	0
13	2	5	李萱萱	lxxtx	lxxlh	0	0
14	2	6	皇甫青	hfqtx	hfqlh	1	1
15	2	7	白穆	bmtx	bmlh	0	0
16	2	90	李老师	llstx	llslh	0	0
