ID	搜证轮数	分类Id	线索内容	线索图	是否隐藏（）	音频文件	详情图
Id	SrchNum	TypeId	Line	Pic	Hide	Sound	DetailPic
int	int 	int	string	int	boolean	int	string
1	1	1	当你准备把书放好时，一张照片从你的书页中掉了出来，那是一张你的单人照，但是却给人很怪异的感觉，照片中的你站的位置似乎偏左了一些。	1001			
2	2	2	你将床边的笔记本拿了起来，蓝色的笔记本封面上写着“蒋温灵”三个字。你打开了笔记，笔记内容缺失了很多页，其中像是人名的部分也被像是指甲一类的东西给划破了，根本看不清原来的内容。	1002			10021,10022,10023
3	1	3	在等待的过程中，你（姚青峰）注意到隔间的墙板上有个小洞，从这里可以看到第五个隔间。	1003			
4	2	4	你（姚青峰）好奇的将手机中的音频文件点开：\n“喂！我要报警!有人死了！我看到了！”\n “请告知您的姓名和现在的位置。”\n“真相高中！在真相高中！我叫姚青峰，我现在正在宿舍里！我和我的三个舍友都看到了，对面教学楼上有人从天台被推下去了！”\n“好的，请您待在房间里，锁好门窗等待我们的警务人员到来。”	1004		1004	
5	1	5	当你（谢雨晴）打开书包隔层时以往爱看的小说却并没有放在里面，取而代之的是一本没有署名的日记本。这本日记并不是你的，那么会是谁放在你专门放小说的隔层里的呢？带着一些好奇，你打开了这本日记。	1005			10051,10052,10053
6	2	6	你（谢雨晴）刚走进女厕所的隔间把门锁上后便听到了两个女生的交谈声：\n“你知道吗？李萱萱和李老师其实关系很不正常哦。”\n“什么不正常啊？他们不是父女吗？”\n“才没有那么简单，他们是父女没错，但是他们的感情可不是一般的父女哦。”\n“咦，你是说？真的假的，好恶心。”\n“我也是听别人私下里说的啦，隔壁班的人据说之前在午休的时候看到李萱萱偷吻李老师呢，正常的父女会这样吗，真恶心。”	1006		1006	
7	1	7	你（吕思琦）走到李老师的办公桌前随便翻翻，你打开了第一个抽屉，里面都是一些杂志，你注意到最下方似乎有一个信封，带着好奇你把那个信封拿了出来，信封上用很工整的字体写着“致---谢雨晴”，打开信封，新的内容洋洋洒洒写了一整页，都是表达了对谢雨晴的爱慕之情，落款是白穆，时间是2018年12月8日。	1007			
8	2	8	你（吕思琦）低下头看去，发现课桌中有两只纸条，你小心翼翼的打开：\n纸条1：“男人婆，真恶心。”\n纸条2：“高二3班不欢迎你。”	1008			
9	1	9	电脑桌旁摆放着一张相框照片，里面是你（李萱萱）和谢雨晴的合照，这张照片是国庆节拍的，照片上你在右边，谢雨晴在左边，有些奇怪的是，你与谢雨晴的中间隔着很大的一段空白位置。	1009			
10	2	10	你（李萱萱）爸爸从笔记本上撕下来的纸，上面还有一些钢笔写的字。被扔进了垃圾桶里。	1010			10101
11	2	11	你（李萱萱）注意到那只白皙的手掌中间似乎夹着一张碎纸，你强忍着恐惧将那张碎纸拿了出来，碎纸上只写了三个字“不存在”。	1011			
12	1	12	你（皇甫青）拿出了口袋中的备忘录纸，仔细分辨那一行被各种线条涂抹掉的字，你最终看出了其中一个字的轮廓，那就是这句话的第一个字“蒋”！	1012			
13	2	13	你（皇甫青）打开了录音笔的播放机，录音笔里传来了嘈杂的声音，由于杂音太多而且声音太小你根本听不清楚，你听到了好几个人尖叫的声音，这些声音里有男有女，录音的最后你们清晰地听到了一个女声惊恐的喊道：“我知道了！多了一个！多了一个！！！”然后便是一声骨肉断裂的声音，录音结束。	1013		1013	
14	1	14	这本笔记断断续续，缺失了很多，有不少页都被撕掉了，笔记到了12月1日就中断了，笔记中很多像是人名的部分都被划烂了，就像是被尖锐的指甲划过无数遍一样根本看不出是什么字。	1014			10141,10142
15	2	15	你（白穆）走近看，忽然注意到地上的血迹边缘似乎有个红色的字：“白”，字迹的主人似乎已经遭遇不测。	1015			
16	99	16	某人的记忆突然被唤醒了。	1016			10161
17	99	17	你（姚青峰）是个风水世家的少爷，你的爷爷曾经告诉你，一个人临死时强烈的怨念会诅咒某个人或某个地方，诅咒的形式十分多样化，而遭受诅咒的袭击后人内心的执著或是阴暗面就会具现化成为恐怖的厉鬼前来索命，而厉鬼就是人内心的心魔。被厉鬼杀死的人其实都是死于自己或别人的心魔。自己的心魔唯有自己才能消灭，直面心魔，将心中的阴暗面暴露在阳光下，就可以将心魔净化掉。（去除心魔需要找到自己心魔幻化的厉鬼，并向其他人说明心魔的来源 ）	1017			10171,10172,10173,10174,10175,10176,10177
