唯一id	流程状态	状态次数	标题	提示文案	配音提示	下一阶段时间锁（指定时间后才能点击下一阶段按钮）	顾行简任务	了失任务	靳来生任务	路停云任务	太后任务	青青任务
Id	Status	Num	Title	Tips	Dub	NextSTime	Task1	Task2	Task3	Task4	Task5	Task6
int	string	int	string	string	bool	int	string	string	string	string	string	string
1	stage	1	第一轮小剧场	各位玩家根据台词提示表演自己的部分戏码。\n（请尽量代入角色，增加沉浸感） 	1							
2	talk	1	第一轮公聊	各位玩家进行简单自我介绍即可。\n（请注意自己的任务）			1.路之遥为什么会战败？行唐关又为什么会反？\n2.不要暴露你派人杀路沉骁的事情。\n3.婉儿到底怎么死的？皇祖母为什么突然要杀你？\n4.你见到的靳来生真的是路之遥吗？如果是，搞清楚他为什么在这里，情况不明时不要暴露他的身份，不要被人发现你认识他，试探他是否已经知道了你做的事，如果不是，那他又是谁？他来镇北侯府有什么目的？	1.隐瞒你的协助导致行唐关叛变的事。但你也没想到漓江之战会是这样的结果，路家军到底是怎么败的？这朝堂中可还有什么你不知道的力量吗？\n2.维护好你不染凡俗的高僧形象，不要暴露你的野心以及和苏若的关系。\n3.激化太子和太后的矛盾，揭发他们的阴暗面。时局动荡，在引导舆论的同时尽量不要太直白地表露你的立场。	1.找出自己受伤的原因，以及你被嘱托来侯府要做的事情，隐瞒你来侯府的目的，也尽量不要被人发现你失忆了，调查漓江之败和行唐关叛乱的真相。\n2.朝廷为什么会突然安排云少爷带兵打仗？是不是有人要害他？\n3.你梦里的人是不是路之遥？打听一下在座的人有没有人认识路之遥，又有没有人认识你的，你是一个江湖人，怎么会认识军中的朋友呢？\n4.你相随路停云奔赴前线，但你答应了青青此次事毕就与她归隐成亲，请想办法说服青青。另外，她昨天说的婉儿是谁？	1.查清漓江之败和行唐关叛变的真相。你不相信你哥哥叛变，洗清他的嫌疑。\n2.太子为什么要派人去前线，他与漓江之败有关系吗？\n3.靳来生和青青到底是什么人？他们来侯府有什么目的？	1.查清漓江之战和行唐关叛变的真相，尽量洗清自己的嫌疑。\n2.婉儿是简儿用来试探你的，还是别的什么人派来的？她有没有和简儿说什么不该说的话？\n3.为什么你会觉得青青和靳来生眼熟？	1.隐瞒你和靳来生的真实身份，不要让靳来生怀疑你们的身份，不要被人发现他是路之遥以及你就是婉儿的事。\n2.查探自己的真实身份，你又为什么会修改自己的记忆？\n3.帮助靳来生探查漓江之战和行唐关叛变的真相。
3	search	1	第一轮搜证	每人可以调查三次线索，线索为全部公开。								
4	talk	2	第二轮公聊	根据线索进行追问，寻找任务答案。		600						
5	search	2	第二轮搜证	每人可以调查三次线索，线索为全部公开。								
6	talk	3	第三轮公聊	根据线索进行追问，寻找任务答案。			1.太后对你的态度为什么这么奇怪？\n2.停云到底是不是皇祖母的人？他们有什么计划吗？\n3.不要被人知道你喜欢停云的事。\n4.军饷的事并不是皇祖母属意，但你和她手下的人都有牵连，这朝中是否还有一只隐藏的手？	1.隐瞒你的身份以及你所做的事。\n2.苏若从不做多余的事，她为什么要把婉儿的尸体带走？又为什么要给停云下毒？\n3.调查皇帝有什么打算？他为什么要放任两党 相争，是否想要自己收回权力？\n4.调查一下储因的下落，他是否已经将路之遥杀死了？	1.查清这一切到底是怎么回事，解答这些疑点。\n2.青青为什么要骗你？你的记忆又是怎么回事？\n3.如果无法继续隐瞒自己的身份，请洗清自己通敌叛变的嫌疑。	1.隐瞒你是女子而且深爱太子顾行简的秘密。你的身份关系到侯府和你母亲以及你自己的性命，千万不要随意透露。\n2.真的是太后害了皇后吗？如果是，她为什么要害皇后？如果不是，太子为什么会那样说？\n3.李妃为何要给太子下毒？按你当时判定的，那毒吃下本应无药可医，你为什么没死？	1.一定要隐瞒你和皇帝的关系以及简儿的身世。隐瞒顾斯怀和路沉骁的关系。\n2.查清皇帝最近为什么会疏远你。\n3.朝中是否还有其他的势力？	1.隐瞒圣女的身份，维持和路之遥的爱情，帮他查清行唐关怎么反的，又是什么人引得老将军渡江。查清大周朝堂内搞鬼的人，来转移洗脱自己欺骗出卖了路家军的事。\n2.苏若到底是谁？她为什么当初会帮你这个神庙的叛徒？\n3.路停云为什么也在吃冰心丹？他也是神庙的人吗？
7	search	3	第三轮搜证	每人可以调查五次线索，线索为全部公开。\n讨论后进行投凶\n（投凶除6位玩家外还可以投素心和死者本人）								
8	talk	4	第四轮公聊	根据线索还原苏若死亡的真相			1.调查苏若死亡的真相和真凶。她的尸体为什么会消失，又吊在了火中？\n2.苏若是太后的陪嫁侍女，京中镇北侯府的侯夫人，停云的母亲，这么多年你观她和太后以及停云的感清不似作假，她为什么要私通南诏？她真的是南诏的谍者吗？难道真的是皇祖母 指使的？调查真相，但是为了保护停云，不要直接说出你调查出她私通南诏的事。\n3.太后今天的种种异常是因为什么？	1.隐瞒你的杀人事实和作案手法。\n2.她本来想让你帮的忙是什么？\n3.你去之前她的伤是怎么弄的，明明你没有探到她的鼻息，她怎么又活了过来？	1.青青到底是什么人？\n2.苏若是怎么死的？\n3.素心就是那个京中的奸细吗？那苏若呢？	1.隐瞒你的杀人事实。\n2.她为什么会被吊在火海中？这是谁干的？\n3.查清楚自己的身世，苏若到底是不是你的母亲，她和了失又是什么关系？他们在策划什么？\n4.隐瞒苏若是南诏间谍的事。	1.苏若是怎么死的？找出真凶。为她报仇。洗清自己的嫌疑。\n2.查明苏若为什么背叛你。\n3.苏若本来正午要给你的交待是什么？	1.隐瞒你对苏若做的事。苏若是你杀死的吗？如果是，她怎么会被吊起来？如果不是，又是谁做的？\n2.之遥为什么不在苏若房间？他发现什么了吗？苏若说他今天会找到证据，是否要将你的身份披露给他？\n3.苏若为什么一会儿要帮你一会儿要害你？她到底是什么人？
