唯一id	流程状态	状态次数	解锁线索	标题	提示文案	配音提示文案	配音提示	下一阶段时间锁（指定时间后才能点击下一阶段按钮）	姚青峰剧本	谢雨晴剧本	吕思琦剧本	叶冷星剧本	李萱萱剧本	皇甫青剧本	白穆剧本	姚青峰任务	谢雨晴任务	吕思琦任务	叶冷星任务	李萱萱任务	皇甫青任务	白穆任务
Id	Status	Num	UnlockClueId	Title	Tips	DubTips	Dub	NextSTime	Text1	Text2	Text3	Text4	Text5	Text6	Text7	Task1	Task2	Task3	Task4	Task5	Task6	Task7
int	string	int	int	string	string	string	bool	int	string	string	string	string	string	string	string	string	string	string	string	string	string	string
1	TALK	1		第一轮公聊	各位玩家进行简单自我介绍即可。\n（请注意自己要隐藏的事情）				姚青峰角色介绍,22条校规上	谢雨晴角色介绍,22条校规上	吕思琦角色介绍,22条校规上	叶冷星角色介绍,22条校规上	李萱萱角色介绍,22条校规上	皇甫青角色介绍,22条校规上	白穆角色介绍,22条校规上	注意隐瞒你的秘密	注意隐瞒你的秘密	注意隐瞒你的秘密	注意隐瞒你的秘密	注意隐瞒你的秘密	注意隐瞒你的秘密	注意隐瞒你的秘密
2	TALK	2		第二轮公聊	与其他人交流一下你们遇到的奇怪的事情，以及关于自己记忆碎片的信息。				姚青峰角色介绍,22条校规上,姚青峰第一幕	谢雨晴角色介绍,22条校规上,谢雨晴第一幕	吕思琦角色介绍,22条校规上,吕思琦第一幕	叶冷星角色介绍,22条校规上,叶冷星第一幕	李萱萱角色介绍,22条校规上,李萱萱第一幕	皇甫青角色介绍,22条校规上,皇甫青第一幕	白穆角色介绍,22条校规上,白穆第一幕	公聊结束后需要集体投票解锁记忆碎片。请集体讨论慎重决定要解锁的记忆碎片，本轮可以解锁4个。	公聊结束后需要集体投票解锁记忆碎片。请集体讨论慎重决定要解锁的记忆碎片，本轮可以解锁4个。	公聊结束后需要集体投票解锁记忆碎片。请集体讨论慎重决定要解锁的记忆碎片，本轮可以解锁4个。	公聊结束后需要集体投票解锁记忆碎片。请集体讨论慎重决定要解锁的记忆碎片，本轮可以解锁4个。	公聊结束后需要集体投票解锁记忆碎片。请集体讨论慎重决定要解锁的记忆碎片，本轮可以解锁4个。	公聊结束后需要集体投票解锁记忆碎片。请集体讨论慎重决定要解锁的记忆碎片，本轮可以解锁4个。	公聊结束后需要集体投票解锁记忆碎片。请集体讨论慎重决定要解锁的记忆碎片，本轮可以解锁4个。
3	VOTESEARCH	1		第一轮投票搜证	总共可以投4次票。每次投票票数最多的记忆碎片会被解开。如平票会随机解开一个票数最高的记忆，全体公开可见。解锁次数有限，请慎重选择。未解锁的碎片会保留至下一轮。				姚青峰角色介绍,22条校规上,姚青峰第一幕	谢雨晴角色介绍,22条校规上,谢雨晴第一幕	吕思琦角色介绍,22条校规上,吕思琦第一幕	叶冷星角色介绍,22条校规上,叶冷星第一幕	李萱萱角色介绍,22条校规上,李萱萱第一幕	皇甫青角色介绍,22条校规上,皇甫青第一幕	白穆角色介绍,22条校规上,白穆第一幕
4	TALK	3		第三轮公聊	继续与其他人交流一下你们遇各自的遭遇，以及自己新的记忆碎片信息。				姚青峰角色介绍,22条校规上,姚青峰第一幕,姚青峰第二幕	谢雨晴角色介绍,22条校规上,谢雨晴第一幕,谢雨晴第二幕	吕思琦角色介绍,22条校规上,吕思琦第一幕,吕思琦第二幕	叶冷星角色介绍,22条校规上,叶冷星第一幕,叶冷星第二幕	李萱萱角色介绍,22条校规上,李萱萱第一幕,李萱萱第二幕	皇甫青角色介绍,22条校规上,皇甫青第一幕,皇甫青第二幕	白穆角色介绍,22条校规上,白穆第一幕,白穆第二幕	公聊结束后可以再解锁4个记忆碎片。请在新的碎片和上轮遗留的碎片中慎重选择。	本轮可以再解锁4个记忆碎片。请在新的碎片和上轮遗留的碎片中慎重选择。	本轮可以再解锁4个记忆碎片。请在新的碎片和上轮遗留的碎片中慎重选择。	本轮可以再解锁4个记忆碎片。请在新的碎片和上轮遗留的碎片中慎重选择。	本轮可以再解锁4个记忆碎片。请在新的碎片和上轮遗留的碎片中慎重选择。	本轮可以再解锁4个记忆碎片。请在新的碎片和上轮遗留的碎片中慎重选择。	本轮可以再解锁4个记忆碎片。请在新的碎片和上轮遗留的碎片中慎重选择。
5	VOTESEARCH	2		第二轮投票搜证	本轮可以再解开4个记忆碎片，未解锁的碎片会保留至下一轮。请慎重选择。				姚青峰角色介绍,22条校规上,姚青峰第一幕,姚青峰第二幕	谢雨晴角色介绍,22条校规上,谢雨晴第一幕,谢雨晴第二幕	吕思琦角色介绍,22条校规上,吕思琦第一幕,吕思琦第二幕	叶冷星角色介绍,22条校规上,叶冷星第一幕,叶冷星第二幕	李萱萱角色介绍,22条校规上,李萱萱第一幕,李萱萱第二幕	皇甫青角色介绍,22条校规上,皇甫青第一幕,皇甫青第二幕	白穆角色介绍,22条校规上,白穆第一幕,白穆第二幕
6	TALK	4		第四轮公聊	与其他人交流并寻找事情的真相。				姚青峰角色介绍,22条校规上,姚青峰第一幕,姚青峰第二幕,22条校规下,姚青峰第三幕	谢雨晴角色介绍,22条校规上,谢雨晴第一幕,谢雨晴第二幕,22条校规下,谢雨晴第三幕	吕思琦角色介绍,22条校规上,吕思琦第一幕,吕思琦第二幕,22条校规下,吕思琦第三幕	叶冷星角色介绍,22条校规上,叶冷星第一幕,叶冷星第二幕,22条校规下,叶冷星第三幕	李萱萱角色介绍,22条校规上,李萱萱第一幕,李萱萱第二幕,22条校规下,李萱萱第三幕	皇甫青角色介绍,22条校规上,皇甫青第一幕,皇甫青第二幕,22条校规下,皇甫青第三幕	白穆角色介绍,22条校规上,白穆第一幕,白穆第二幕,22条校规下,白穆第三幕	公聊结束后将解锁最后4个记忆碎片。剩余3个将无法解开，请慎重选择。	公聊结束后将解锁最后4个记忆碎片。剩余3个将无法解开，请慎重选择。	公聊结束后将解锁最后4个记忆碎片。剩余3个将无法解开，请慎重选择。	公聊结束后将解锁最后4个记忆碎片。剩余3个将无法解开，请慎重选择。	公聊结束后将解锁最后4个记忆碎片。剩余3个将无法解开，请慎重选择。	公聊结束后将解锁最后4个记忆碎片。剩余3个将无法解开，请慎重选择。	公聊结束后将解锁最后4个记忆碎片。剩余3个将无法解开，请慎重选择。
7	VOTESEARCH	3		第三轮投票搜证	本轮将再解开4个记忆碎片，未解锁的碎片将永远尘封，请把握最后的机会，慎重选择。				姚青峰角色介绍,22条校规上,姚青峰第一幕,姚青峰第二幕,22条校规下,姚青峰第三幕	谢雨晴角色介绍,22条校规上,谢雨晴第一幕,谢雨晴第二幕,22条校规下,谢雨晴第三幕	吕思琦角色介绍,22条校规上,吕思琦第一幕,吕思琦第二幕,22条校规下,吕思琦第三幕	叶冷星角色介绍,22条校规上,叶冷星第一幕,叶冷星第二幕,22条校规下,叶冷星第三幕	李萱萱角色介绍,22条校规上,李萱萱第一幕,李萱萱第二幕,22条校规下,李萱萱第三幕	皇甫青角色介绍,22条校规上,皇甫青第一幕,皇甫青第二幕,22条校规下,皇甫青第三幕	白穆角色介绍,22条校规上,白穆第一幕,白穆第二幕,22条校规下,白穆第三幕
8	UNLOCK	1	17						姚青峰角色介绍,22条校规上,姚青峰第一幕,姚青峰第二幕,22条校规下,姚青峰第三幕	谢雨晴角色介绍,22条校规上,谢雨晴第一幕,谢雨晴第二幕,22条校规下,谢雨晴第三幕	吕思琦角色介绍,22条校规上,吕思琦第一幕,吕思琦第二幕,22条校规下,吕思琦第三幕	叶冷星角色介绍,22条校规上,叶冷星第一幕,叶冷星第二幕,22条校规下,叶冷星第三幕	李萱萱角色介绍,22条校规上,李萱萱第一幕,李萱萱第二幕,22条校规下,李萱萱第三幕	皇甫青角色介绍,22条校规上,皇甫青第一幕,皇甫青第二幕,22条校规下,皇甫青第三幕	白穆角色介绍,22条校规上,白穆第一幕,白穆第二幕,22条校规下,白穆第三幕
9	TALK	5		第五轮公聊	集体讨论各自隐藏的秘密，并找到属于自己的心魔。				姚青峰角色介绍,22条校规上,姚青峰第一幕,姚青峰第二幕,22条校规下,姚青峰第三幕,姚青峰第四幕	谢雨晴角色介绍,22条校规上,谢雨晴第一幕,谢雨晴第二幕,22条校规下,谢雨晴第三幕,谢雨晴第四幕	吕思琦角色介绍,22条校规上,吕思琦第一幕,吕思琦第二幕,22条校规下,吕思琦第三幕,吕思琦第四幕	叶冷星角色介绍,22条校规上,叶冷星第一幕,叶冷星第二幕,22条校规下,叶冷星第三幕,叶冷星第四幕	李萱萱角色介绍,22条校规上,李萱萱第一幕,李萱萱第二幕,22条校规下,李萱萱第三幕,李萱萱第四幕	皇甫青角色介绍,22条校规上,皇甫青第一幕,皇甫青第二幕,22条校规下,皇甫青第三幕,皇甫青第四幕	白穆角色介绍,22条校规上,白穆第一幕,白穆第二幕,22条校规下,白穆第三幕,白穆第四幕
10	DRAFT	1		驱逐心魔	请依次选择自己的心魔。				姚青峰角色介绍,22条校规上,姚青峰第一幕,姚青峰第二幕,22条校规下,姚青峰第三幕,姚青峰第四幕	谢雨晴角色介绍,22条校规上,谢雨晴第一幕,谢雨晴第二幕,22条校规下,谢雨晴第三幕,谢雨晴第四幕	吕思琦角色介绍,22条校规上,吕思琦第一幕,吕思琦第二幕,22条校规下,吕思琦第三幕,吕思琦第四幕	叶冷星角色介绍,22条校规上,叶冷星第一幕,叶冷星第二幕,22条校规下,叶冷星第三幕,叶冷星第四幕	李萱萱角色介绍,22条校规上,李萱萱第一幕,李萱萱第二幕,22条校规下,李萱萱第三幕,李萱萱第四幕	皇甫青角色介绍,22条校规上,皇甫青第一幕,皇甫青第二幕,22条校规下,皇甫青第三幕,皇甫青第四幕	白穆角色介绍,22条校规上,白穆第一幕,白穆第二幕,22条校规下,白穆第三幕,白穆第四幕
11	TALK	6		第六轮公聊	集体讨论找到酿成最初惨案的凶手。				姚青峰角色介绍,22条校规上,姚青峰第一幕,姚青峰第二幕,22条校规下,姚青峰第三幕,姚青峰第四幕	谢雨晴角色介绍,22条校规上,谢雨晴第一幕,谢雨晴第二幕,22条校规下,谢雨晴第三幕,谢雨晴第四幕	吕思琦角色介绍,22条校规上,吕思琦第一幕,吕思琦第二幕,22条校规下,吕思琦第三幕,吕思琦第四幕	叶冷星角色介绍,22条校规上,叶冷星第一幕,叶冷星第二幕,22条校规下,叶冷星第三幕,叶冷星第四幕	李萱萱角色介绍,22条校规上,李萱萱第一幕,李萱萱第二幕,22条校规下,李萱萱第三幕,李萱萱第四幕	皇甫青角色介绍,22条校规上,皇甫青第一幕,皇甫青第二幕,22条校规下,皇甫青第三幕,皇甫青第四幕	白穆角色介绍,22条校规上,白穆第一幕,白穆第二幕,22条校规下,白穆第三幕,白穆第四幕
12	VOTE	1		投凶	请选出你认为的酿成最初惨案的凶手。				姚青峰角色介绍,22条校规上,姚青峰第一幕,姚青峰第二幕,22条校规下,姚青峰第三幕,姚青峰第四幕	谢雨晴角色介绍,22条校规上,谢雨晴第一幕,谢雨晴第二幕,22条校规下,谢雨晴第三幕,谢雨晴第四幕	吕思琦角色介绍,22条校规上,吕思琦第一幕,吕思琦第二幕,22条校规下,吕思琦第三幕,吕思琦第四幕	叶冷星角色介绍,22条校规上,叶冷星第一幕,叶冷星第二幕,22条校规下,叶冷星第三幕,叶冷星第四幕	李萱萱角色介绍,22条校规上,李萱萱第一幕,李萱萱第二幕,22条校规下,李萱萱第三幕,李萱萱第四幕	皇甫青角色介绍,22条校规上,皇甫青第一幕,皇甫青第二幕,22条校规下,皇甫青第三幕,皇甫青第四幕	白穆角色介绍,22条校规上,白穆第一幕,白穆第二幕,22条校规下,白穆第三幕,白穆第四幕
13	UNLOCK	2	16						姚青峰角色介绍,22条校规上,姚青峰第一幕,姚青峰第二幕,22条校规下,姚青峰第三幕,姚青峰第四幕	谢雨晴角色介绍,22条校规上,谢雨晴第一幕,谢雨晴第二幕,22条校规下,谢雨晴第三幕,谢雨晴第四幕	吕思琦角色介绍,22条校规上,吕思琦第一幕,吕思琦第二幕,22条校规下,吕思琦第三幕,吕思琦第四幕	叶冷星角色介绍,22条校规上,叶冷星第一幕,叶冷星第二幕,22条校规下,叶冷星第三幕,叶冷星第四幕	李萱萱角色介绍,22条校规上,李萱萱第一幕,李萱萱第二幕,22条校规下,李萱萱第三幕,李萱萱第四幕	皇甫青角色介绍,22条校规上,皇甫青第一幕,皇甫青第二幕,22条校规下,皇甫青第三幕,皇甫青第四幕	白穆角色介绍,22条校规上,白穆第一幕,白穆第二幕,22条校规下,白穆第三幕,白穆第四幕
