唯一id	流程状态	状态次数	解锁线索	下一阶段最短时间锁（指定时间后才能点击下一阶段按钮）	下一阶段最长时间锁(时间到达后阶段强制结束，剩余5分钟时给与倒计时提示)	标题	提示文案	配音提示文案	配音提示	陈怀安剧本	蒋古城剧本	丽丽娜依剧本	柳湘人剧本	楼小兰剧本	铁男剧本	夜神剧本	陈怀安任务	蒋古城任务	丽丽娜依任务	柳湘人任务	楼小兰任务	铁男任务	夜神任务
Id	Status	Num	UnlockClueId	NextSTime	NextLTime	Title	Tips	DubTips	Dub	Text1	Text2	Text3	Text4	Text5	Text6	Text7	Task1	Task2	Task3	Task4	Task5	Task6	Task7
int	string	int	int	int	int	string	string	string	bool	string	string	string	string	string	string	string	string	string	string	string	string	string	string
1	READ	1				第一轮读剧本	请认真阅读剧本剧情，带入角色			陈怀安第一章	蒋古城第一章	丽丽娜依第一章	柳湘人第一章	楼小兰第一章	铁男第一章	夜神第一章						太后任务	
3	TALK	1				第一轮公聊	各位玩家进行简单自我介绍即可。\n（不用着急完成自己的任务）			陈怀安第一章	蒋古城第一章	丽丽娜依第一章	柳湘人第一章	楼小兰第一章	铁男第一章	夜神第一章							
4	SECRETTALK	1			1800	第一轮私聊	可邀请目标角色进入私聊房间进行私聊，房间内无人数限制，注意不要被人偷听（记住自己的任务）			陈怀安第一章	蒋古城第一章	丽丽娜依第一章	柳湘人第一章	楼小兰第一章	铁男第一章	夜神第一章							
5	SEARCH	1				第一轮搜证	每人可以调查三次线索，线索为全部公开。			陈怀安第一章	蒋古城第一章	丽丽娜依第一章	柳湘人第一章	楼小兰第一章	铁男第一章	夜神第一章							
6	SECRETTALK	2				第二轮私聊	继续寻找目标私聊完成自己的任务			陈怀安第一章	蒋古城第一章	丽丽娜依第一章	柳湘人第一章	楼小兰第一章	铁男第一章	夜神第一章							
7	SUBSELECT	1				选择子剧本	选择你要居住的房间，方便夜晚刺杀骆驼。			陈怀安第一章	蒋古城第一章	丽丽娜依第一章	柳湘人第一章	楼小兰第一章	铁男第一章	夜神第一章							
8	SUBREAD	1				阅读子剧本	认真阅读剧本，如果你是凶手请避免被怀疑，如果你不是凶手请找到真凶。			陈怀安第一章,子剧本	蒋古城第一章,子剧本	丽丽娜依第一章,子剧本	柳湘人第一章,子剧本	楼小兰第一章,子剧本	铁男第一章,子剧本	夜神第一章,子剧本							
9	TALK	2				第二轮公聊	互相交流信息，找到杀害骆驼的真凶			陈怀安第一章,子剧本	蒋古城第一章,子剧本	丽丽娜依第一章,子剧本	柳湘人第一章,子剧本	楼小兰第一章,子剧本	铁男第一章,子剧本	夜神第一章,子剧本							
10	SEARCH	2				第二轮搜证	每人可以调查1次线索，线索为全部公开。			陈怀安第一章,子剧本	蒋古城第一章,子剧本	丽丽娜依第一章,子剧本	柳湘人第一章,子剧本	楼小兰第一章,子剧本	铁男第一章,子剧本	夜神第一章,子剧本							
10	SEARCH	3				第三轮搜证	每人可以调查1次线索，线索为全部公开。\n讨论后进行投凶\n（投凶除7位玩家外还可以投死者本人）\n被投中的角色需要展示自己的主要任务和背包里的道具与装备。			陈怀安第一章,子剧本	蒋古城第一章,子剧本	丽丽娜依第一章,子剧本	柳湘人第一章,子剧本	楼小兰第一章,子剧本	铁男第一章,子剧本	夜神第一章,子剧本							
12	UNLOCK	1				解锁线索				陈怀安第一章,子剧本	蒋古城第一章,子剧本	丽丽娜依第一章,子剧本	柳湘人第一章,子剧本	楼小兰第一章,子剧本	铁男第一章,子剧本	夜神第一章,子剧本							
13	TALK	3				第三轮公聊	请讨论线索并找到杀害骆驼的凶手。公聊结束后进行投凶，被公投出的角色展示自己的主要任务和背包里的道具与装备。（投凶除7位玩家外还可以投摩尔斯）			陈怀安第一章,子剧本	蒋古城第一章,子剧本	丽丽娜依第一章,子剧本	柳湘人第一章,子剧本	楼小兰第一章,子剧本	铁男第一章,子剧本	夜神第一章,子剧本							
14	SUBVOTE	1				投凶	请选出你认为杀害骆驼的嫌疑人！（谁杀了骆驼不重要，优先选择你想了解信息的人）			陈怀安第一章,子剧本	蒋古城第一章,子剧本	丽丽娜依第一章,子剧本	柳湘人第一章,子剧本	楼小兰第一章,子剧本	铁男第一章,子剧本	夜神第一章,子剧本							
15	UNLOCKINFO	1				展示信息				陈怀安第一章,子剧本	蒋古城第一章,子剧本	丽丽娜依第一章,子剧本	柳湘人第一章,子剧本	楼小兰第一章,子剧本	铁男第一章,子剧本	夜神第一章,子剧本							
16	READ	2				第二轮读剧本				陈怀安第一章,子剧本,陈怀安第三章	蒋古城第一章,子剧本,蒋古城第三章	丽丽娜依第一章,子剧本,丽丽娜依第三章	柳湘人第一章,子剧本,柳湘人第三章	楼小兰第一章,子剧本,楼小兰第三章	铁男第一章,子剧本,铁男第三章	夜神第一章,子剧本,夜神第三章							
17	CHOICE	1				丽丽娜依抉择	等待丽丽娜依选择她愿意跟随的男人！			陈怀安第一章,子剧本,陈怀安第三章	蒋古城第一章,子剧本,蒋古城第三章	丽丽娜依第一章,子剧本,丽丽娜依第三章	柳湘人第一章,子剧本,柳湘人第三章	楼小兰第一章,子剧本,楼小兰第三章	铁男第一章,子剧本,铁男第三章	夜神第一章,子剧本,夜神第三章							
18	AUCTION	1			1800	第一轮拍卖	拍卖时最好团队协作才能获得最大利益。\n子弹和防弹衣为消耗品。\n广撒网的策略有可能花费10金币就能获得无人问津的拍品。\n如果结算时无法支付金币则由出价第二名的玩家获得。\n流拍的道具会进入下一轮。			陈怀安第一章,子剧本,陈怀安第三章	蒋古城第一章,子剧本,蒋古城第三章	丽丽娜依第一章,子剧本,丽丽娜依第三章	柳湘人第一章,子剧本,柳湘人第三章	楼小兰第一章,子剧本,楼小兰第三章	铁男第一章,子剧本,铁男第三章	夜神第一章,子剧本,夜神第三章							
19	AUCTIONRESULT	1				第一轮拍卖结算				陈怀安第一章,子剧本,陈怀安第三章	蒋古城第一章,子剧本,蒋古城第三章	丽丽娜依第一章,子剧本,丽丽娜依第三章	柳湘人第一章,子剧本,柳湘人第三章	楼小兰第一章,子剧本,楼小兰第三章	铁男第一章,子剧本,铁男第三章	夜神第一章,子剧本,夜神第三章							
20	AUCTION	2			1800	第二轮拍卖	最后一轮拍卖，金币之后将毫无用处，请尽量多的获得武器装备为最终决战增加胜算。			陈怀安第一章,子剧本,陈怀安第三章	蒋古城第一章,子剧本,蒋古城第三章	丽丽娜依第一章,子剧本,丽丽娜依第三章	柳湘人第一章,子剧本,柳湘人第三章	楼小兰第一章,子剧本,楼小兰第三章	铁男第一章,子剧本,铁男第三章	夜神第一章,子剧本,夜神第三章							
21	AUCTIONRESULT	2				第二轮拍卖结算				陈怀安第一章,子剧本,陈怀安第三章	蒋古城第一章,子剧本,蒋古城第三章	丽丽娜依第一章,子剧本,丽丽娜依第三章	柳湘人第一章,子剧本,柳湘人第三章	楼小兰第一章,子剧本,楼小兰第三章	铁男第一章,子剧本,铁男第三章	夜神第一章,子剧本,夜神第三章							
22	READ	3				第三轮读剧本				陈怀安第一章,子剧本,陈怀安第三章,最终决战规则	蒋古城第一章,子剧本,蒋古城第三章,最终决战规则	丽丽娜依第一章,子剧本,丽丽娜依第三章,最终决战规则	柳湘人第一章,子剧本,柳湘人第三章,最终决战规则	楼小兰第一章,子剧本,楼小兰第三章,最终决战规则	铁男第一章,子剧本,铁男第三章,最终决战规则	夜神第一章,子剧本,夜神第三章,最终决战规则							
23	SECRETTALK	3			1800	第三轮私聊	大决战前的准备阶段，请与队友商量战术，交换道具，决战开始后将无法交易道具。			陈怀安第一章,子剧本,陈怀安第三章,最终决战规则	蒋古城第一章,子剧本,蒋古城第三章,最终决战规则	丽丽娜依第一章,子剧本,丽丽娜依第三章,最终决战规则	柳湘人第一章,子剧本,柳湘人第三章,最终决战规则	楼小兰第一章,子剧本,楼小兰第三章,最终决战规则	铁男第一章,子剧本,铁男第三章,最终决战规则	夜神第一章,子剧本,夜神第三章,最终决战规则							
24	SHOOTING	1				最终决战	完成你的任务 活着走出孤城			陈怀安第一章,子剧本,陈怀安第三章,最终决战规则	蒋古城第一章,子剧本,蒋古城第三章,最终决战规则	丽丽娜依第一章,子剧本,丽丽娜依第三章,最终决战规则	柳湘人第一章,子剧本,柳湘人第三章,最终决战规则	楼小兰第一章,子剧本,楼小兰第三章,最终决战规则	铁男第一章,子剧本,铁男第三章,最终决战规则	夜神第一章,子剧本,夜神第三章,最终决战规则							
25	SCORE	1				得分结算	根据任务完成情况计算得分，对各位玩家进行排名。			陈怀安第一章,子剧本,陈怀安第三章,最终决战规则	蒋古城第一章,子剧本,蒋古城第三章,最终决战规则	丽丽娜依第一章,子剧本,丽丽娜依第三章,最终决战规则	柳湘人第一章,子剧本,柳湘人第三章,最终决战规则	楼小兰第一章,子剧本,楼小兰第三章,最终决战规则	铁男第一章,子剧本,铁男第三章,最终决战规则	夜神第一章,子剧本,夜神第三章,最终决战规则							
26	ENDING	1				结局	感谢体验本次剧本故事《孤城》。剧本里可以查看复盘和结局。			陈怀安第一章,子剧本,陈怀安第三章,最终决战规则,真相和结局	蒋古城第一章,子剧本,蒋古城第三章,最终决战规则,真相和结局	丽丽娜依第一章,子剧本,丽丽娜依第三章,最终决战规则,真相和结局	柳湘人第一章,子剧本,柳湘人第三章,最终决战规则,真相和结局	楼小兰第一章,子剧本,楼小兰第三章,最终决战规则,真相和结局	铁男第一章,子剧本,铁男第三章,最终决战规则,真相和结局	夜神第一章,子剧本,夜神第三章,最终决战规则,真相和结局							
																							
																							
