ID	Solo环节	角色名(1顾行简 2了失 3靳来生 4路停云 5太后 6 青青 99旁白)	文本标题名	台词	配音	配音时长
Id	SoloNum	RoleId	Title	Line	Dub	Duration
int	int 	string	string	string	string	int
1	1	6	青青-想和他走	      我的身份，到底还是暴露了。 也许从我爱上他的那一刻开始，我就已经在等待这一天的到来了吧。说起来，我自己都不知道到底是哪里来的勇气，竟然让我敢背叛神庙。我是南诏的女儿，可我却背叛了我的子民。我自幼生于神庙，长于神庙，是神庙教了我一身本领。但为了带之遥从战场上出来，我叛出南诏，师姐用她的命成全了我，我也成了一个只有一年寿命的人。\n\n      这三个月，我数着日子，精打细算的过每一天。要和之遥看夕阳，要和他栽树种花，我写了三百六十五个愿望，要做满三百六十五个梦，我想弥补不能陪他白头到老的遗憾，我想要他记住我。\n\n      你们不知道毒蛊发作的时候，有多痛啊。我不愿意他忘记我，我想要他看天时记得，这是和青青一起看过的天，吃饭时记得，这是和青青一起做过的菜。看山时记得和青青一起爬过山，看水时记得和青青一起泛过舟。\n\n      之遥，我们还有二百多件事没有做。你说过从镇北侯府回去，我们就成亲的。你答应过我，会把我的愿望都完成的。这些愿望我都不要了，我就换成一个愿望：你跟我走，好不好？我们过完这一年，我自会把这条命赔给你。\n\n      百毒蚀心之苦，够不够解你的心头之恨？	1021	88
2	1	6	青青-让他留下	      我的身份，到底还是暴露了。 也许从我爱上他的那一刻开始，我就已经在等待这一天的到来了吧。说起来，我自己都不知道到底是哪里来的勇气，竟然让我敢背叛神庙。我是南诏的女儿，可我却背叛了我的子民。我自幼生于神庙，长于神庙，是神庙教了我一身本领。但为了带之遥从战场上出来，我叛出南诏，师姐用她的命成全了我，我也成了一个只有一年寿命的人。\n\n      可是，我也害我的之遥，亲人离散，声名尽毁，有家回不去，和家人见面不相识，相知不相认。我把他偷走了，我让他成了靳来生，没有家国要担当，只陪在我的身边。\n\n      这三个月，我数着日子，精打细算的过每一天。要和之遥看夕阳，要和他栽树种花，我写了三百六十五个愿望，要做满三百六十五个梦，我想弥补不能陪他白头到老的遗憾，我想要他记住我。\n\n      你们不知道毒蛊发作的时候，有多痛啊。我不愿意他忘记我，我想要他看天时记得，这是和青青一起看过的天，吃饭时记得，这是和青青一起做过的菜。看山时记得和青青一起爬过山，看水时记得和青青一起泛过舟。\n\n      之遥，你留下吧。我偷走了你三个月，该把你还回来了。只是，我希望你别把我交出去，就让我死在你的手里，好不好？这样，我就再也不欠你的了......你也绝对不会忘了我了，对不对？	1022	102
3	1	6	青青-选不出来	      我的身份，到底还是暴露了。 也许从我爱上他的那一刻开始，我就已经在等待这一天的到来了吧。我自幼生于神庙，长于神庙，是神庙教了我一身本领。但为了带之遥从战场上出来，我叛出神庙，师姐用她的命成全了我，我也成了一个只有一年寿命的人。\n\n      可是，我也害我的之遥，亲人离散，声名尽毁，有家回不去，和家人见面不相识，相知不相认。我把他偷走了，我让他成了靳来生，没有家国要担当，只陪在我的身边。\n\n      其实，我早就做好了赴死的准备。我用尽了全部的努力，已经很幸运地偷到了这三个月。你知道我为什么给你取名叫做靳来生吗？我斩断了我们的前尘，才换来了这一场倾心相爱。你是我用尽了来生才偷到的人啊，原以为还有一年的光阴，却不想，却不想只有这三个月.....可是我真的好贪心，我还是舍不得你。现在，我想最后任性一次，之遥，我替你做过太多选择了。我骗了你，虽然救了你的命，却害边关那么多将士送了性命。\n\n      这个选择，你来替我选，好不好？\n\n      现在，我把我这条命赔给你，好不好？\n\n      百毒蚀心之苦，够不够解你的心头之恨？	1023	84
4	1	3	靳来生-杀了青青	青青，青青，我从没想过，竟然是你。明明爷爷提醒过我，明明许叔叔阻止过我。可笑我以情障目，辨不出你的身份。我信你真心，可是我几万路家军的命，谁来赔我？你一人的命，凭什么可以赔那几万将士？你的泪一滴滴全砸在我的心上，可是他们妻儿父母的泪，谁来赔？\n\n      我心疼你，可是谁来心疼他们？谁来心疼停云？我们在府中三月，停云的身体，你不是不知。可是因为我当了逃兵，他却还要拖着病体出征...最心疼我的爷爷已经不在了，我还要害最崇拜我的弟弟也就此送命吗？”\n\n      路之遥转向陛下，涩声道：“陛下，此女罪大恶极，理当处以极刑。停云出征在即，此蛊应该用来治疗停云。我路之遥愿披挂上阵，听从镇北侯世子调遣，愿此生不要功勋，不要赏赐，赎我识人不清，通身罪孽，只是我请求陛下，让我亲手了结她的性命。”\n\n      路之遥一刀捅入了青青的胸前，紧紧的抱着她：“青青，我实在不舍得，你去受刑罚之苦。我怎么能让你受那种屈辱？你放心，这是我们两个人的债，我不会逃脱的。若我没有死在战争之中，待边关事了，我必自刎漓江。奈何桥边，你可要等等我啊，我得把我们欠的一一还了，才好去找你不是？今生我们血债太重，偿了这些罪孽，我们来生就可以清清白白地相遇了。下辈子，我不当这大周的将军，你也不当南诏的圣女，我们就去山谷中隐居，当一对逍遥的眷侣......来生，换你对我来说，原来你在这里呀，好不好......”	1024	147
5	1	3	靳来生-跟青青走	      我也曾一心为国，信任殿下，可是殿下给了我什么？朝廷又给了我们路家什么？停云，大哥怕了。这一败，亦是因我而起。是我信错了人，也爱错了人。我已经无颜面对路家军，无颜再执掌兵权。停云，你才是路家的好儿郎，大哥，大哥只是个逃兵。\n\n      我作为路之遥的一生，都在边关效力，保土卫国，为大周效力。可是 路之遥早就死在了漓江，死在了行唐关，今天站在这里的，是靳来生。是青青的来生。\n\n      青青她千错万错，终究身不由己，她生在神庙，长在神庙，她听神庙安排又怎么算错？你不知道，她在战场上狠极了，我当时就在想，一个女孩，到底经历了什么才会生出这样多的刺？可是这样的她，愿意抛弃生她养她的地方，愿意不要自己的性命，甚至愿意受百毒蚀心之苦，只为了救我。你说，我能抛下她吗？\n\n      停云，是大哥欠你的，路家从此，就要靠你了。我会陪青青走完她生命的最后一段。日后你若有需要大哥的地方，我当为马前卒，阵前鼓，大哥可以为了你，为了路家流尽最后一滴血，来偿还我们欠边关将士的，偿还我的临阵脱逃，偿还爷爷的养育之恩。但，不能是在今日。\n\n      青青，还记得我们从行唐关出来的那一天吗？我对你说，无论生死，我们都要在一处，就算只有一年，我也陪你。不用来生，就在今世，余生的每一天，我都会在你身边。青青，你不欠我的。你已经把心还我，把命还我，傻丫头，你还欠我什么呢？你不再是神庙的圣女，我也不再是大周的将军，不是路家的儿子。这最后的一年光阴，我们不要国仇，不要家恨，我们欠的，都交由我来还。\n\n      要是真的有来生，你可要记得等等我啊。这次罚你向我伸出手，对我说，原来你在这里啊。	1025	144
6	1	1	顾行简-表白	停云，早在你醉了的那一天，我也就醉了，再也没有醒来过。可我不敢爱你，我是储君，是大周唯一的皇嗣。我害怕，这一切都是假的，我怕你是皇祖母派来毁掉我的。我更畏惧我没法保护好你，我怕我不能光明正大地爱你。\n\n      我有太多顾虑，太多踌躇和猜疑。为了大周，为了自己，我不停的伤害你，看着你痛苦 ，似乎这样确认自己在你心中的地位，我才能有一刻心安。但也许我早就爱上你了，在那日复一日的陪伴中，在我捉住你手腕的瞬间，在我推开你的那些时刻里。\n\n      甚至我说要娶婉儿，也是想试探你。我多想听你说，不要娶她。可你笑着对我说，会帮我娶她，千难万险，在所不惜。那一瞬间，我丧失了全部爱你的勇气。\n\n      我们错过太多次了。停云，你愿不愿意，再给我一次机会？这一次，我不再自以为是，选择的权力交给你，你还愿意站在我身边吗？\n\n      只要你愿意，我顾行简，必定倾我一生，来守护你。	1026	80
7	1	1	顾行简-不表白	我生于帝王家，长在深宫中。我眼见着我深爱的人为我而死，为我而伤。我拼尽全力，我追逐权力，我本来是为了保护他们的啊，可是怎么伤害他们的人，反而正是我自己呢？我不再敢有爱了，\n\n      父皇，帝王家真的能去爱一个人吗？处心积虑，算计筹谋，我们真的配得到真正的爱，配有朋友，有爱人吗？我们要负担天下，负担苍生，却真的有能力负担身边人的幸福吗？\n\n      我试过了，却宁愿从未爱过，也从未被爱过。我不断苦苦追逐，却终究一一失去。只是那些伤害，我终究无力偿还了。我到底是这大周的储君，子民饥寒，我有何资格沉溺儿女情长？\n\n      我愿孤家寡人，没有软肋。曾经的所有情深，都会化为盔甲，在余生中支撑我，陪伴我。我要这天下海清河晏，喜乐安康。\n\n      停云，我们所有的猜测试探，都在今天做个了结吧。我顾行简，从未有一刻爱过你。那些岁月里的缱绻，不过是对弟弟的关爱，最多，再加上一点清风明月造就的鬼迷心窍。\n\n      我们自始至终，只是兄弟，只是君臣。你一定要活着回来，找一个满心只有你的人，照顾你，爱护你，一心为你。他会为你披上大氅，哄你吃药，陪你读书.......他一定能护你周全，保你平安。\n你一定要活着回来。停云，我等着你，我们明君良将，一生相伴。	1027	97
8	1	4	路停云-恢复女儿身	      我本是女儿身，却要以男子身份生活。从前，我从未有什么不甘，直到我爱上了殿下。千千万万次，我都忍不住想，如果我是女子，他是不是就会爱我？如果我是女子，我们是不是也很般配？\n\n          你说，我不知道你怀着怎样的心情听我说，我愿意帮你娶她，可是你有没有想过，我当时又怀着怎样的心情？你南巡遇险，我忧心病倒，后悔从未向你吐露过心迹。我甚至想以侯府百余口人命做赌，告诉你我的女儿身。\n\n      我终于等回了你，身康体健，伴有如花美眷。\n\n       如今我要出征了，也许，也许我再也回不来了。我对太后娘娘说过，我身为路家子，愿征战沙场，报效家国，虽死无怨，万死不悔。我于国无憾，对于殿下，我也从未对不起你。原本我想问，想问你，你骗我的时候，你下令杀我伯祖父的时候，你拿路家做刀枪的时候，殿下，你可曾想过停云一次吗？停云自己的命已经给了你，还不够吗？\n\n      我不求来日，听了殿下的话，终于也可以放下曾经。殿下，原来那些我为你辗转反侧的日子里，你也曾动心过。如此，足矣。\n\n      若停云此战不死，也许我们还有见面之时。\n\n      殿下，珍重。	1028	88
